country_code,indicator_code,source_organization,date,value,lower_bound,upper_bound,status
US,US_INDUSTRIAL_PRODUCTION_M,FRED,2020-05,85.9604,93.658725,107.32272499999999,warning
US,US_INDUSTRIAL_PRODUCTION_M,FRED,2020-06,91.5934,93.658725,107.32272499999999,warning
US,US_UNEMPLOYMENT_RATE_M,FRED,2020-04,14.8,0.4999999999999982,8.200000000000003,warning
US,US_UNEMPLOYMENT_RATE_M,FRED,2020-05,13.2,0.4999999999999982,8.200000000000003,warning
US,US_UNEMPLOYMENT_RATE_M,FRED,2020-06,11.0,0.4999999999999982,8.200000000000003,warning
US,US_UNEMPLOYMENT_RATE_M,FRED,2020-07,10.2,0.4999999999999982,8.200000000000003,warning
US,US_UNEMPLOYMENT_RATE_M,FRED,2020-08,8.4,0.4999999999999982,8.200000000000003,warning
VN,CPI_YOY_A,IMF,1982,95.401,-56.73474999999999,83.89524999999999,warning
VN,CPI_YOY_A,IMF,1985,91.602,-56.73474999999999,83.89524999999999,warning
VN,CPI_YOY_A,IMF,1986,453.538,-56.73474999999999,83.89524999999999,warning
VN,CPI_YOY_A,IMF,1987,360.357,-56.73474999999999,83.89524999999999,warning
VN,CPI_YOY_A,IMF,1988,374.354,-56.73474999999999,83.89524999999999,warning
VN,CPI_YOY_A,IMF,1989,95.77,-56.73474999999999,83.89524999999999,warning
VN,GDP_REAL_GROWTH_YOY_A,IMF,1980,-3.497,-0.28949999999999854,13.316749999999999,warning
ZA,GDP_REAL_GROWTH_YOY_A,World Bank,2020,-6.1689177146757,-2.2250774302508947,4.29040160075242,warning
ZA,GDP_REAL_GROWTH_YOY_A,World Bank,2021,4.85864865060148,-2.2250774302508947,4.29040160075242,warning
