series_id,country_code,country_iso2,country_iso3,country_name_zh,country_name_en,indicator_code,indicator_name_zh,indicator_name_en,date,frequency,unit,seasonal_adjustment,calculation,value,source_organization,source_dataset,source_indicator_code,source_indicator_name,source_url,last_updated,status,retrieved_at,data_version
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-23,D,local currency per USD,NSA,level,6.228791,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-26,D,local currency per USD,NSA,level,6.254358,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-27,D,local currency per USD,NSA,level,6.244737,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-28,D,local currency per USD,NSA,level,6.247267,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-29,D,local currency per USD,NSA,level,6.245868,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-01-30,D,local currency per USD,NSA,level,6.248474,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-02,D,local currency per USD,NSA,level,6.257383,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-03,D,local currency per USD,NSA,level,6.257032,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-04,D,local currency per USD,NSA,level,6.248995,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-05,D,local currency per USD,NSA,level,6.249518,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-06,D,local currency per USD,NSA,level,6.249236,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-09,D,local currency per USD,NSA,level,6.246386,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-10,D,local currency per USD,NSA,level,6.241657,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-11,D,local currency per USD,NSA,level,6.242708,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-12,D,local currency per USD,NSA,level,6.243821,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-13,D,local currency per USD,NSA,level,6.239434,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-16,D,local currency per USD,NSA,level,6.249299,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-17,D,local currency per USD,NSA,level,6.255191,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-18,D,local currency per USD,NSA,level,6.2551,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-19,D,local currency per USD,NSA,level,6.255291,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-20,D,local currency per USD,NSA,level,6.252611,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-23,D,local currency per USD,NSA,level,6.256506,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-24,D,local currency per USD,NSA,level,6.253708,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-25,D,local currency per USD,NSA,level,6.259915,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
CN.EXCHANGE_RATE_USD_D.BIS,CN,CN,CHN,中国,China,EXCHANGE_RATE_USD_D,本币兑美元汇率,Exchange rates against USD,2015-02-26,D,local currency per USD,NSA,level,6.258814,BIS,Exchange rates,WS_XRU.D, Exchange rates against USD China - Renminbi - Daily - Average of observations through period,https://stats.bis.org/,2026-06-22,A,2026-06-22 11:26:25,2026-06-22
